,MSE,RMSE,MAE,Count,Avg_Actual,Avg_Predicted
DOO,0.2699181433314419,0.5195364696837382,0.35975329543779555,265.0,96.04708679245283,96.02644348144531
NOR,0.6030459806085252,0.776560352199702,0.4302830397368434,3241.0,88.50586516507249,88.58509826660156
SAI,0.621890750828473,0.7886005014127705,0.42105738910982304,3017.0,89.15449917136229,89.162353515625
HAD,0.6649586066113925,0.8154499412050947,0.4498890403695658,588.0,87.08871428571427,87.08817291259766
TSU,0.6743594389098134,0.8211939106628917,0.4627774114400797,2889.0,89.6220346140533,89.6500015258789
ALO,0.6953257341679806,0.8338619395127592,0.4584477389416535,3112.0,89.6280697300771,89.65971374511719
LEC,0.704846598174062,0.8395514267595893,0.41246456129861847,3121.0,89.25023710349247,89.25904846191406
HAM,0.7290428534112233,0.853840063133151,0.4450835458403932,3163.0,88.82670850458425,88.83062744140625
VER,0.7337511094952894,0.8565927325720721,0.41659429112080504,3180.0,88.80906194968553,88.85994720458984
RIC,0.788604745971935,0.8880342031543239,0.4704981270645689,1367.0,90.06470080468178,90.03641510009766
OCO,0.7921241696932162,0.890013578375755,0.47226434362287345,2873.0,89.87116916115559,89.86851501464844
MAG,0.8003287503793713,0.8946109491725279,0.49556986964334865,2299.0,90.87929143105697,90.9156265258789
ALB,0.8027842607482559,0.8959822881889217,0.4723017909113892,2731.0,90.5371512266569,90.5223388671875
RUS,0.8161916377497078,0.9034332503011542,0.4239192296627368,3218.0,89.14216594157861,89.14158630371094
GAS,0.8511658451366115,0.9225864973738839,0.46670007288854143,2934.0,89.75884083162919,89.7599868774414
STR,0.9104708184822707,0.9541859454436912,0.4576079961935082,2927.0,89.60025555175947,89.61224365234375
ZHO,0.9196175124712093,0.9589668985273732,0.5244493513888494,2466.0,90.4358402270884,90.39957427978516
PIA,0.9425416882549509,0.9708458622536076,0.47175005667963194,3167.0,88.29032333438586,88.381591796875
BOT,0.9431119025499307,0.9711394866598365,0.5298506628680006,2469.0,90.41652733900365,90.36653900146484
LAW,1.01639674321242,1.008165037686003,0.4965759381299074,1186.0,89.71062225969646,89.73969268798828
HUL,1.023802407094208,1.011831214726156,0.5036247329539135,3091.0,90.55031737301843,90.52046966552734
PER,1.0916670459336764,1.0448287160743988,0.4760437531342378,2368.0,89.8453589527027,89.84937286376953
DEV,1.1679645932835523,1.0807241059972486,0.4766235048647279,540.0,87.49632222222222,87.47879028320312
SAR,1.2552722374146654,1.120389324036366,0.5351237212836091,1737.0,90.88573920552676,90.93292999267578
COL,1.3051138866451542,1.1424158116225258,0.5558353752136229,720.0,88.19960416666666,88.23643493652344
ANT,1.4081755747021618,1.186665738404106,0.47103380702756487,530.0,89.07682641509435,89.01768493652344
BOR,1.6046698691786894,1.2667556469890668,0.4886151204846568,582.0,87.24732817869418,87.12014770507812
BEA,2.3163542210720847,1.5219573650638458,0.5457307705577576,743.0,89.21543203230149,89.22168731689453
